date	time	relative time [s]	Cn [P/cm^3]	none	X50(V) [micro-m]	none	
12/13/2016	11:37:42 AM	155.06	12310.038086	NaN	0.835926	NaN	
12/13/2016	11:37:43 AM	156.14	13661.401367	NaN	1.269951	NaN	
12/13/2016	11:37:44 AM	157.22	11884.567383	NaN	0.769212	NaN	
12/13/2016	11:37:45 AM	158.31	13442.114258	NaN	1.245099	NaN	
12/13/2016	11:37:46 AM	159.14	15441.439453	NaN	1.349829	NaN	
12/13/2016	11:37:47 AM	160.44	12186.664062	NaN	1.015601	NaN	
12/13/2016	11:37:48 AM	161.30	16905.216797	NaN	0.803850	NaN	
12/13/2016	11:37:49 AM	162.19	13916.951172	NaN	0.833095	NaN	
12/13/2016	11:37:50 AM	163.06	14816.505859	NaN	1.032901	NaN	
12/13/2016	11:37:51 AM	164.12	15531.969727	NaN	1.072502	NaN	
12/13/2016	11:37:52 AM	165.20	14525.649414	NaN	0.914922	NaN	
12/13/2016	11:37:53 AM	166.05	14101.429687	NaN	1.063160	NaN	
12/13/2016	11:37:54 AM	167.31	12229.000000	NaN	2.424976	NaN	
12/13/2016	11:37:55 AM	168.17	14933.766602	NaN	1.654982	NaN	
12/13/2016	11:37:56 AM	169.27	11752.202148	NaN	0.647131	NaN	
12/13/2016	11:37:57 AM	170.14	15586.112305	NaN	1.211160	NaN	
12/13/2016	11:37:58 AM	171.41	11355.260742	NaN	0.789222	NaN	
12/13/2016	11:37:59 AM	172.30	12836.807617	NaN	1.159095	NaN	
12/13/2016	11:38:00 AM	173.19	15127.223633	NaN	0.748870	NaN	
12/13/2016	11:38:01 AM	174.27	12816.310547	NaN	0.746082	NaN	
12/13/2016	11:38:02 AM	175.34	15088.811523	NaN	0.745287	NaN	
12/13/2016	11:38:03 AM	176.19	12330.730469	NaN	0.638276	NaN	
12/13/2016	11:38:04 AM	177.06	14967.370117	NaN	0.783217	NaN	
12/13/2016	11:38:05 AM	178.16	13552.411133	NaN	0.747187	NaN	
12/13/2016	11:38:06 AM	179.23	12859.242187	NaN	0.615259	NaN	
12/13/2016	11:38:07 AM	180.12	13063.760742	NaN	2.818916	NaN	
12/13/2016	11:38:08 AM	181.20	11485.557617	NaN	0.901124	NaN	
12/13/2016	11:38:09 AM	182.30	12981.517578	NaN	0.911268	NaN	
12/13/2016	11:38:10 AM	183.17	13539.291016	NaN	1.969931	NaN	
12/13/2016	11:38:11 AM	184.27	13693.637695	NaN	1.253197	NaN	
12/13/2016	11:38:12 AM	185.36	12545.221680	NaN	1.137420	NaN	
12/13/2016	11:38:13 AM	186.20	12617.438477	NaN	0.918377	NaN	
12/13/2016	11:38:14 AM	187.47	11763.080078	NaN	0.801309	NaN	
12/13/2016	11:38:15 AM	188.16	14597.709961	NaN	0.727416	NaN	
12/13/2016	11:38:16 AM	189.25	13344.956055	NaN	1.163761	NaN	
12/13/2016	11:38:17 AM	190.12	14750.265625	NaN	1.679081	NaN	
12/13/2016	11:38:18 AM	191.20	14359.929687	NaN	0.789663	NaN	
12/13/2016	11:38:19 AM	192.14	15193.591797	NaN	0.637128	NaN	
12/13/2016	11:38:20 AM	193.22	13151.927734	NaN	0.707527	NaN	
12/13/2016	11:38:21 AM	194.31	16007.565430	NaN	1.270810	NaN	
12/13/2016	11:38:22 AM	195.19	14224.186523	NaN	1.382913	NaN	
12/13/2016	11:38:23 AM	196.08	13178.694336	NaN	0.800142	NaN	
12/13/2016	11:38:24 AM	197.16	11613.253906	NaN	1.254671	NaN	
12/13/2016	11:38:25 AM	198.03	12681.832031	NaN	1.839090	NaN	
12/13/2016	11:38:26 AM	199.31	14174.208984	NaN	0.894570	NaN	
12/13/2016	11:38:27 AM	200.19	11764.507812	NaN	1.963886	NaN	
12/13/2016	11:38:28 AM	201.27	14665.778320	NaN	1.329507	NaN	
12/13/2016	11:38:29 AM	202.34	14483.193359	NaN	1.014224	NaN	
12/13/2016	11:38:30 AM	203.19	13202.446289	NaN	1.677142	NaN	
12/13/2016	11:38:31 AM	204.28	13130.361328	NaN	1.516907	NaN	
12/13/2016	11:38:32 AM	205.17	12483.466797	NaN	1.617877	NaN	
12/13/2016	11:38:33 AM	206.45	13876.960937	NaN	1.029399	NaN	
12/13/2016	11:38:34 AM	207.55	15209.119141	NaN	1.204152	NaN	
12/13/2016	11:38:35 AM	208.22	14551.246094	NaN	0.654435	NaN	
12/13/2016	11:38:36 AM	209.52	15402.841797	NaN	1.210427	NaN	
12/13/2016	11:38:37 AM	210.20	14646.235352	NaN	0.875348	NaN	
12/13/2016	11:38:38 AM	211.28	15779.070312	NaN	1.100049	NaN	
12/13/2016	11:38:39 AM	212.36	19012.347656	NaN	0.785522	NaN	
