date	time	relative time [s]	Cn [P/cm^3]	none	X50(V) [micro-m]	none	
12/13/2016	11:38:03 AM	176.19	8777.256836	NaN	0.717960	NaN	
12/13/2016	11:38:04 AM	177.06	9438.583984	NaN	0.939313	NaN	
12/13/2016	11:38:05 AM	178.16	9732.802734	NaN	0.761205	NaN	
12/13/2016	11:38:06 AM	179.23	8787.616211	NaN	0.678991	NaN	
12/13/2016	11:38:07 AM	180.12	8011.136719	NaN	2.820541	NaN	
12/13/2016	11:38:08 AM	181.20	9410.259766	NaN	0.904263	NaN	
12/13/2016	11:38:09 AM	182.30	7866.442871	NaN	1.434359	NaN	
12/13/2016	11:38:10 AM	183.17	9218.417969	NaN	1.975830	NaN	
12/13/2016	11:38:11 AM	184.27	7429.305176	NaN	1.262370	NaN	
12/13/2016	11:38:12 AM	185.36	8505.043945	NaN	1.150649	NaN	
12/13/2016	11:38:13 AM	186.20	7984.574707	NaN	0.928496	NaN	
12/13/2016	11:38:14 AM	187.47	7521.195801	NaN	0.806189	NaN	
12/13/2016	11:38:15 AM	188.16	8718.648437	NaN	0.747526	NaN	
12/13/2016	11:38:16 AM	189.25	9649.520508	NaN	1.165926	NaN	
12/13/2016	11:38:17 AM	190.12	9839.935547	NaN	1.684672	NaN	
12/13/2016	11:38:18 AM	191.20	9261.846680	NaN	0.801751	NaN	
12/13/2016	11:38:19 AM	192.14	11459.904297	NaN	0.649076	NaN	
12/13/2016	11:38:20 AM	193.22	8939.067383	NaN	0.729197	NaN	
12/13/2016	11:38:21 AM	194.31	11361.532227	NaN	1.275760	NaN	
12/13/2016	11:38:22 AM	195.19	10234.683594	NaN	1.388575	NaN	
12/13/2016	11:38:23 AM	196.08	8586.953125	NaN	0.813247	NaN	
12/13/2016	11:38:24 AM	197.16	7371.728027	NaN	1.258127	NaN	
12/13/2016	11:38:25 AM	198.03	7219.610840	NaN	1.843443	NaN	
12/13/2016	11:38:26 AM	199.31	10314.337891	NaN	0.906766	NaN	
12/13/2016	11:38:27 AM	200.19	7858.802246	NaN	1.969140	NaN	
12/13/2016	11:38:28 AM	201.27	9685.208008	NaN	1.564064	NaN	
12/13/2016	11:38:29 AM	202.34	8400.527344	NaN	1.021554	NaN	
12/13/2016	11:38:30 AM	203.19	8545.783203	NaN	1.682992	NaN	
12/13/2016	11:38:31 AM	204.28	8080.071777	NaN	1.527966	NaN	
12/13/2016	11:38:32 AM	205.17	8426.455078	NaN	1.622117	NaN	
12/13/2016	11:38:33 AM	206.45	9415.938477	NaN	1.045444	NaN	
12/13/2016	11:38:34 AM	207.55	9074.511719	NaN	1.224673	NaN	
12/13/2016	11:38:35 AM	208.22	8341.022461	NaN	0.752661	NaN	
12/13/2016	11:38:36 AM	209.52	11195.837891	NaN	1.246785	NaN	
12/13/2016	11:38:37 AM	210.20	8359.054687	NaN	0.914064	NaN	
12/13/2016	11:38:38 AM	211.28	10768.038086	NaN	1.104721	NaN	
12/13/2016	11:38:39 AM	212.36	12658.385742	NaN	0.872818	NaN	
12/13/2016	11:38:40 AM	213.45	10138.935547	NaN	0.953047	NaN	
12/13/2016	11:38:41 AM	214.09	11452.398437	NaN	1.182141	NaN	
12/13/2016	11:38:42 AM	215.17	11201.040039	NaN	0.640719	NaN	
12/13/2016	11:38:43 AM	216.48	11855.450195	NaN	1.167383	NaN	
12/13/2016	11:38:44 AM	217.17	10254.401367	NaN	1.931492	NaN	
12/13/2016	11:38:45 AM	218.25	9628.470703	NaN	1.291385	NaN	
12/13/2016	11:38:46 AM	219.30	11225.489258	NaN	0.764097	NaN	
12/13/2016	11:38:47 AM	220.19	9001.873047	NaN	1.285938	NaN	
12/13/2016	11:38:48 AM	221.27	7974.990234	NaN	1.856360	NaN	
12/13/2016	11:38:49 AM	222.11	9919.630859	NaN	1.016616	NaN	
12/13/2016	11:38:50 AM	223.33	9457.735352	NaN	1.226481	NaN	
12/13/2016	11:38:51 AM	224.41	10817.269531	NaN	1.081762	NaN	
12/13/2016	11:38:52 AM	225.30	8810.836914	NaN	1.079091	NaN	
12/13/2016	11:38:53 AM	226.36	9311.343750	NaN	0.741378	NaN	
12/13/2016	11:38:54 AM	227.23	14919.987305	NaN	1.279886	NaN	
12/13/2016	11:38:55 AM	228.11	7929.372070	NaN	0.712798	NaN	
12/13/2016	11:38:56 AM	229.19	8777.993164	NaN	1.058745	NaN	
12/13/2016	11:38:57 AM	230.30	11871.867187	NaN	1.069193	NaN	
12/13/2016	11:38:58 AM	231.59	10073.495117	NaN	1.160624	NaN	
12/13/2016	11:38:59 AM	232.22	7819.442871	NaN	0.979611	NaN	
12/13/2016	11:39:00 AM	233.31	10002.630859	NaN	1.099769	NaN	
12/13/2016	11:39:01 AM	234.39	9075.977539	NaN	0.926210	NaN	
12/13/2016	11:39:02 AM	235.70	9475.602539	NaN	0.717182	NaN	
12/13/2016	11:39:03 AM	236.34	9695.074219	NaN	2.055829	NaN	
12/13/2016	11:39:04 AM	237.23	10155.687500	NaN	1.000449	NaN	
12/13/2016	11:39:05 AM	238.31	9489.745117	NaN	1.186744	NaN	
12/13/2016	11:39:06 AM	239.39	9775.716797	NaN	0.980818	NaN	
12/13/2016	11:39:07 AM	240.27	10227.261719	NaN	2.730953	NaN	
12/13/2016	11:39:08 AM	241.70	11558.403320	NaN	3.233586	NaN	
12/13/2016	11:39:09 AM	242.37	12727.315430	NaN	3.017584	NaN	
12/13/2016	11:39:10 AM	243.47	9792.193359	NaN	2.245916	NaN	
12/13/2016	11:39:11 AM	244.55	8932.842773	NaN	1.549295	NaN	
12/13/2016	11:39:12 AM	245.19	10393.300781	NaN	2.254275	NaN	
12/13/2016	11:39:13 AM	246.09	9419.745117	NaN	1.074030	NaN	
12/13/2016	11:39:14 AM	247.19	9836.545898	NaN	0.735474	NaN	
12/13/2016	11:39:15 AM	248.27	9871.040039	NaN	1.088047	NaN	
12/13/2016	11:39:16 AM	249.14	7276.479492	NaN	1.020632	NaN	
12/13/2016	11:39:17 AM	250.44	10661.782227	NaN	1.095777	NaN	
